entreprise_id,date_declaration,secteur,taille,localisation,nb_salaries_declares,salaire_moyen_declare,masse_salariale_declaree,cotisations_dues,date_paiement,jours_retard,montant_paye,sous_declaration_taux,flag_fraude,flag_retard_grave,annee,mois
ENT_0001,2023-07-25,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,186960,560879,162655,2023-08-04,0,162655,1.0,0,0,2023,7
ENT_0001,2023-08-24,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,219952,879809,255145,2023-10-03,30,255145,1.0,0,0,2023,8
ENT_0001,2023-09-23,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,198546,794183,230313,2023-10-03,0,230313,1.0,0,0,2023,9
ENT_0001,2023-10-23,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,185568,742272,215259,2023-11-02,0,215259,1.0,0,0,2023,10
ENT_0001,2023-11-22,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,4,123743,494973,143542,2023-12-02,0,143542,0.6,1,0,2023,11
ENT_0002,2022-01-01,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,140175,700875,203254,2022-01-26,15,203254,1.0,0,0,2022,1
ENT_0002,2022-01-31,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,164331,985987,285936,2022-02-10,0,200155,1.0,0,0,2022,1
ENT_0002,2022-03-02,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,149371,746855,216588,2022-05-11,60,216588,1.0,0,1,2022,3
ENT_0002,2022-04-01,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,142862,714311,207150,2022-04-11,0,145005,1.0,0,0,2022,4
ENT_0002,2022-05-01,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,158139,790696,229302,2022-05-11,0,229302,1.0,0,0,2022,5
ENT_0002,2022-05-31,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,161515,969088,281036,2022-06-10,0,281036,1.0,0,0,2022,5
ENT_0002,2022-06-30,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,141636,849818,246447,2022-07-10,0,246447,1.0,0,0,2022,6
ENT_0002,2022-07-30,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,138511,831069,241010,2022-08-09,0,241010,1.0,0,0,2022,7
ENT_0002,2022-08-29,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,92102,552612,160257,2022-09-08,0,160257,0.67,1,0,2022,8
ENT_0002,2022-09-28,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,149077,745386,216162,2022-10-23,15,216162,1.0,0,0,2022,9
ENT_0002,2022-10-28,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,139969,699844,202955,2022-11-07,0,202955,1.0,0,0,2022,10
ENT_0002,2022-11-27,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,149564,747822,216868,2023-01-21,45,216868,1.0,0,1,2022,11
ENT_0002,2022-12-27,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,145765,874591,253631,2023-01-06,0,253631,1.0,0,0,2022,12
ENT_0002,2023-01-26,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,158201,949203,275269,2023-02-05,0,275269,1.0,0,0,2023,1
ENT_0002,2023-02-25,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,147296,883773,256294,2023-03-07,0,256294,1.0,0,0,2023,2
ENT_0002,2023-03-27,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,92593,555557,161111,2023-04-06,0,161111,0.63,1,0,2023,3
ENT_0002,2023-04-26,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,88754,532523,154432,2023-05-06,0,154432,0.65,1,0,2023,4
ENT_0002,2023-05-26,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,105979,635871,184403,2023-07-20,45,184403,0.67,1,1,2023,5
ENT_0002,2023-06-25,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,93367,466837,135383,2023-07-05,0,135383,0.69,1,0,2023,6
ENT_0002,2023-07-25,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,154471,926828,268780,2023-08-04,0,268780,1.0,0,0,2023,7
ENT_0002,2023-08-24,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,146118,876710,254246,2023-09-03,0,254246,1.0,0,0,2023,8
ENT_0002,2023-09-23,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,161272,806360,233844,2023-10-03,0,233844,1.0,0,0,2023,9
ENT_0002,2023-10-23,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,6,162527,975161,282797,2023-11-02,0,282797,1.0,0,0,2023,10
ENT_0002,2023-11-22,TRANSPORT_LOGISTIQUE,TPE (1-9),DIKHIL,5,135063,675315,195841,2023-12-02,0,195841,1.0,0,0,2023,11
ENT_0003,2022-01-01,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,126091,378274,109699,2022-01-11,0,109699,0.63,1,0,2022,1
ENT_0003,2022-01-31,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,196128,392256,113754,2022-02-10,0,113754,1.0,0,0,2022,1
ENT_0003,2022-03-02,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,215034,645103,187080,2022-03-27,15,130956,1.0,0,0,2022,3
ENT_0003,2022-04-01,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,205735,411471,119327,2022-04-11,0,119327,1.0,0,0,2022,4
ENT_0003,2022-05-01,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,210419,420839,122043,2022-05-11,0,122043,1.0,0,0,2022,5
ENT_0003,2022-05-31,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,215779,431557,125152,2022-06-10,0,125152,1.0,0,0,2022,5
ENT_0003,2022-06-30,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,188392,376784,109267,2022-07-10,0,109267,1.0,0,0,2022,6
ENT_0003,2022-07-30,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,191290,382580,110948,2022-08-09,0,110948,1.0,0,0,2022,7
ENT_0003,2022-08-29,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,207211,414422,120182,2022-09-08,0,120182,1.0,0,0,2022,8
ENT_0003,2022-09-28,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,196243,392485,113821,2022-10-23,15,113821,1.0,0,0,2022,9
ENT_0003,2022-10-28,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,218542,655625,190131,2022-11-07,0,190131,1.0,0,0,2022,10
ENT_0003,2022-11-27,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,187832,375663,108942,2022-12-07,0,108942,1.0,0,0,2022,11
ENT_0003,2022-12-27,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,182067,546200,158398,2023-01-06,0,158398,1.0,0,0,2022,12
ENT_0003,2023-01-26,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,206459,412918,119746,2023-02-05,0,119746,1.0,0,0,2023,1
ENT_0003,2023-02-25,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,196693,393387,114082,2023-03-07,0,114082,1.0,0,0,2023,2
ENT_0003,2023-03-27,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,180539,541616,157069,2023-04-06,0,157069,1.0,0,0,2023,3
ENT_0003,2023-04-26,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,207589,622766,180602,2023-05-06,0,180602,1.0,0,0,2023,4
ENT_0003,2023-05-26,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,200249,400499,116145,2023-06-05,0,116145,1.0,0,0,2023,5
ENT_0003,2023-06-25,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,210913,632739,183494,2023-07-05,0,183494,1.0,0,0,2023,6
ENT_0003,2023-07-25,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,147323,441968,128171,2023-08-04,0,128171,0.77,1,0,2023,7
ENT_0003,2023-08-24,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,190778,381555,110651,2023-09-03,0,110651,1.0,0,0,2023,8
ENT_0003,2023-09-23,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,141775,425326,123344,2024-01-01,90,123344,0.74,1,1,2023,9
ENT_0003,2023-10-23,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,2,219350,438701,127223,2023-11-17,15,127223,1.0,0,0,2023,10
ENT_0003,2023-11-22,ADMINISTRATION_PUBLIQUE,TPE (1-9),DJIBOUTI-VILLE,3,199457,598370,173527,2023-12-02,0,173527,1.0,0,0,2023,11
ENT_0004,2022-01-01,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,96756,1451342,420889,2022-01-11,0,420889,1.0,0,0,2022,1
ENT_0004,2022-01-31,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,93687,1311614,380368,2022-02-25,15,380368,1.0,0,0,2022,1
ENT_0004,2022-03-02,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,83177,1247660,361821,2022-03-12,0,361821,1.0,0,0,2022,3
ENT_0004,2022-04-01,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,89571,1253989,363657,2022-06-10,60,363657,1.0,0,1,2022,4
ENT_0004,2022-05-01,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,87868,1230154,356745,2022-05-26,15,356745,1.0,0,0,2022,5
ENT_0004,2022-05-31,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,95232,1333254,386644,2022-06-10,0,386644,1.0,0,0,2022,5
ENT_0004,2022-06-30,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,90960,1273436,369296,2022-07-10,0,369296,1.0,0,0,2022,6
ENT_0004,2022-07-30,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,98361,1377053,399345,2022-08-09,0,399345,1.0,0,0,2022,7
ENT_0004,2022-08-29,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,86820,1302302,377667,2022-09-08,0,377667,1.0,0,0,2022,8
ENT_0004,2022-09-28,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,93640,1404606,407336,2022-10-08,0,407336,1.0,0,0,2022,9
ENT_0004,2022-10-28,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,83995,1175926,341019,2022-11-07,0,341019,1.0,0,0,2022,10
ENT_0004,2022-11-27,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,89758,1346371,390448,2022-12-07,0,390448,1.0,0,0,2022,11
ENT_0004,2022-12-27,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,84250,1179504,342056,2023-01-06,0,342056,1.0,0,0,2022,12
ENT_0004,2023-01-26,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,83790,1256845,364485,2023-02-20,15,364485,1.0,0,0,2023,1
ENT_0004,2023-02-25,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,64881,908338,263418,2023-03-07,0,263418,0.69,1,0,2023,2
ENT_0004,2023-03-27,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,98719,1480784,429427,2023-04-06,0,429427,1.0,0,0,2023,3
ENT_0004,2023-04-26,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,94821,1327491,384972,2023-05-06,0,384972,1.0,0,0,2023,4
ENT_0004,2023-05-26,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,84583,1268740,367935,2023-06-05,0,367935,1.0,0,0,2023,5
ENT_0004,2023-06-25,COMMERCE,PME (10-49),DJIBOUTI-VILLE,14,84513,1183186,343124,2023-07-05,0,343124,1.0,0,0,2023,6
ENT_0004,2023-07-25,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,81041,1215617,352529,2023-09-18,45,352529,1.0,0,1,2023,7
ENT_0004,2023-08-24,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,86579,1298680,376617,2023-09-03,0,376617,1.0,0,0,2023,8
ENT_0004,2023-09-23,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,92953,1394289,404344,2023-10-03,0,404344,1.0,0,0,2023,9
ENT_0004,2023-10-23,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,85777,1286648,373128,2023-11-17,15,373128,1.0,0,0,2023,10
ENT_0004,2023-11-22,COMMERCE,PME (10-49),DJIBOUTI-VILLE,15,93760,1406399,407856,2023-12-02,0,407856,1.0,0,0,2023,11
ENT_0005,2022-01-01,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,137395,2610499,757045,2022-01-11,0,757045,1.0,0,0,2022,1
ENT_0005,2022-01-31,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,97386,1947722,564839,2022-02-10,0,564839,0.61,1,0,2022,1
ENT_0005,2022-03-02,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,146332,2780308,806289,2022-03-12,0,806289,1.0,0,0,2022,3
ENT_0005,2022-04-01,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,114964,2184324,633454,2022-04-11,0,633454,0.74,1,0,2022,4
ENT_0005,2022-05-01,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,120645,2412897,699740,2022-05-11,0,699740,0.78,1,0,2022,5
ENT_0005,2022-05-31,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,160383,3047276,883710,2022-06-10,0,883710,1.0,0,0,2022,5
ENT_0005,2022-06-30,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,161166,3223320,934763,2022-07-10,0,934763,1.0,0,0,2022,6
ENT_0005,2022-07-30,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,105553,2111059,612207,2022-08-09,0,612207,0.66,1,0,2022,7
ENT_0005,2022-08-29,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,157608,2994548,868419,2022-09-08,0,868419,1.0,0,0,2022,8
ENT_0005,2022-09-28,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,103961,1975255,572824,2022-10-08,0,572824,0.65,1,0,2022,9
ENT_0005,2022-10-28,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,136105,2585988,749936,2022-11-07,0,749936,1.0,0,0,2022,10
ENT_0005,2022-11-27,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,141536,2689193,779866,2022-12-07,0,779866,1.0,0,0,2022,11
ENT_0005,2022-12-27,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,162245,3082656,893970,2023-01-06,0,893970,1.0,0,0,2022,12
ENT_0005,2023-01-26,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,107640,2045156,593095,2023-02-05,0,593095,0.69,1,0,2023,1
ENT_0005,2023-02-25,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,142393,2705468,784586,2023-03-07,0,784586,1.0,0,0,2023,2
ENT_0005,2023-03-27,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,159691,3193817,926207,2023-04-06,0,926207,1.0,0,0,2023,3
ENT_0005,2023-04-26,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,151668,2881700,835693,2023-05-06,0,835693,1.0,0,0,2023,4
ENT_0005,2023-05-26,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,153506,3070111,890332,2023-06-05,0,890332,1.0,0,0,2023,5
ENT_0005,2023-06-25,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,135564,2575721,746959,2023-07-05,0,746959,1.0,0,0,2023,6
ENT_0005,2023-07-25,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,148172,2815275,816430,2023-08-04,0,816430,1.0,0,0,2023,7
ENT_0005,2023-08-24,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,96810,1936206,561500,2023-09-03,0,561500,0.66,1,0,2023,8
ENT_0005,2023-09-23,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,19,138043,2622824,760619,2023-10-03,0,760619,1.0,0,0,2023,9
ENT_0005,2023-10-23,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,151142,3022842,876624,2023-12-02,30,876624,1.0,0,0,2023,10
ENT_0005,2023-11-22,TRANSPORT_LOGISTIQUE,PME (10-49),DJIBOUTI-VILLE,20,150403,3008055,872336,2023-12-17,15,610635,1.0,0,0,2023,11
ENT_0006,2022-01-01,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,103,341305,35154382,10194771,2022-01-11,0,10194771,1.0,0,0,2022,1
ENT_0006,2022-01-31,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,104,316464,32912294,9544565,2022-02-10,0,9544565,1.0,0,0,2022,1
ENT_0006,2022-03-02,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,107,336332,35987503,10436376,2022-03-12,0,10436376,1.0,0,0,2022,3
ENT_0006,2022-04-01,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,104,378077,39320058,11402817,2022-04-11,0,11402817,1.0,0,0,2022,4
ENT_0006,2022-05-01,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,109,279354,30449623,8830391,2022-06-10,30,8830391,0.82,1,0,2022,5
ENT_0006,2022-05-31,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,104,329245,34241466,9930025,2022-06-10,0,9930025,1.0,0,0,2022,5
ENT_0006,2022-06-30,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,99,350183,34668077,10053742,2022-07-10,0,10053742,1.0,0,0,2022,6
ENT_0006,2022-07-30,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,102,276665,28219794,8183740,2022-08-09,0,8183740,0.84,1,0,2022,7
ENT_0006,2022-08-29,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,103,330205,34011103,9863220,2022-09-08,0,9863220,1.0,0,0,2022,8
ENT_0006,2022-09-28,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,107,343671,36772830,10664121,2022-10-08,0,10664121,1.0,0,0,2022,9
ENT_0006,2022-10-28,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,106,316510,33550037,9729511,2022-11-07,0,9729511,1.0,0,0,2022,10
ENT_0006,2022-11-27,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,107,350564,37510326,10877994,2022-12-07,0,10877994,1.0,0,0,2022,11
ENT_0006,2022-12-27,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,104,303004,31512384,9138591,2023-01-06,0,9138591,0.81,1,0,2022,12
ENT_0006,2023-01-26,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,99,341862,33844317,9814852,2023-02-05,0,9814852,1.0,0,0,2023,1
ENT_0006,2023-02-25,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,103,276620,28491861,8262640,2023-03-07,0,8262640,0.72,1,0,2023,2
ENT_0006,2023-03-27,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,98,337273,33052772,9585304,2023-04-06,0,9585304,1.0,0,0,2023,3
ENT_0006,2023-04-26,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,101,354330,35787372,10378338,2023-05-06,0,10378338,1.0,0,0,2023,4
ENT_0006,2023-05-26,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,105,338739,35567606,10314606,2023-06-05,0,10314606,1.0,0,0,2023,5
ENT_0006,2023-06-25,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,106,230280,24409652,7078799,2023-07-05,0,7078799,0.62,1,0,2023,6
ENT_0006,2023-07-25,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,107,339812,36359845,10544355,2023-09-03,30,10544355,1.0,0,0,2023,7
ENT_0006,2023-08-24,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,106,285735,30287863,8783480,2023-09-03,0,8783480,0.85,0,0,2023,8
ENT_0006,2023-09-23,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,103,329348,33922825,9837619,2023-10-03,0,9837619,1.0,0,0,2023,9
ENT_0006,2023-10-23,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,104,371100,38594386,11192372,2023-11-02,0,11192372,1.0,0,0,2023,10
ENT_0006,2023-11-22,BANQUE_ASSURANCE,ETI (50-249),DJIBOUTI-VILLE,100,375350,37535036,10885160,2023-12-02,0,10885160,1.0,0,0,2023,11
ENT_0007,2022-01-01,TELECOM,PME (10-49),DJIBOUTI-VILLE,44,276384,12160893,3526659,2022-03-12,60,3526659,1.0,0,1,2022,1
ENT_0007,2022-01-31,TELECOM,PME (10-49),DJIBOUTI-VILLE,42,325640,13676893,3966299,2022-02-10,0,2776409,1.0,0,0,2022,1
ENT_0007,2022-03-02,TELECOM,PME (10-49),DJIBOUTI-VILLE,41,319580,13102782,3799807,2022-03-12,0,3799807,1.0,0,0,2022,3
ENT_0007,2022-04-01,TELECOM,PME (10-49),DJIBOUTI-VILLE,43,207224,8910622,2584080,2022-05-11,30,2584080,0.73,1,0,2022,4
ENT_0007,2022-05-01,TELECOM,PME (10-49),DJIBOUTI-VILLE,41,322197,13210097,3830928,2022-05-11,0,3830928,1.0,0,0,2022,5
ENT_0007,2022-05-31,TELECOM,PME (10-49),DJIBOUTI-VILLE,43,275866,11862248,3440052,2022-06-10,0,3440052,1.0,0,0,2022,5
ENT_0007,2022-06-30,TELECOM,PME (10-49),DJIBOUTI-VILLE,42,326943,13731617,3982169,2022-07-10,0,3982169,1.0,0,0,2022,6
ENT_0007,2022-07-30,TELECOM,PME (10-49),DJIBOUTI-VILLE,40,327295,13091798,3796622,2022-08-09,0,3796622,1.0,0,0,2022,7
ENT_0007,2022-08-29,TELECOM,PME (10-49),DJIBOUTI-VILLE,40,180528,7221105,2094121,2022-09-08,0,2094121,0.64,1,0,2022,8
ENT_0007,2022-09-28,TELECOM,PME (10-49),DJIBOUTI-VILLE,41,308317,12641008,3665892,2022-10-08,0,3665892,1.0,0,0,2022,9
ENT_0007,2022-10-28,TELECOM,PME (10-49),DJIBOUTI-VILLE,41,293020,12013819,3484008,2022-11-22,15,3484008,1.0,0,0,2022,10
ENT_0007,2022-11-27,TELECOM,PME (10-49),DJIBOUTI-VILLE,45,296161,13327231,3864897,2022-12-07,0,3864897,1.0,0,0,2022,11
ENT_0007,2022-12-27,TELECOM,PME (10-49),DJIBOUTI-VILLE,43,196438,8446844,2449585,2023-01-21,15,2449585,0.65,1,0,2022,12
ENT_0007,2023-01-26,TELECOM,PME (10-49),DJIBOUTI-VILLE,41,302267,12392962,3593959,2023-02-05,0,3593959,1.0,0,0,2023,1
ENT_0007,2023-02-25,TELECOM,PME (10-49),DJIBOUTI-VILLE,44,293397,12909469,3743746,2023-03-07,0,3743746,1.0,0,0,2023,2
